1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,TheLeague,TheLeagueName,TheSeason,TheTeam
.,.,:,:,:,:,:,:,:,D,D,D,:,:,D,:,.,:,D,.,:,.,:,:,.,:,:,:,D,:,:,.,:,.,.,.,D,:,E0,EPL,1819,Arsenal
:,:,D,.,:,.,:,:,D,:,.,.,.,.,:,.,.,:,.,.,D,.,:,:,.,.,D,.,.,:,D,.,.,:,.,D,:,.,E0,EPL,1819,Bournemouth
.,:,.,D,D,.,.,:,:,:,.,.,D,:,:,.,.,.,D,:,D,.,.,.,D,.,.,:,:,.,.,.,.,D,.,D,D,.,E0,EPL,1819,Brighton
D,.,.,.,.,:,:,D,.,.,.,D,.,.,.,:,.,.,.,:,:,:,D,D,D,:,:,.,.,.,.,:,:,:,D,.,.,.,E0,EPL,1819,Burnley
.,D,D,.,.,.,.,.,:,.,.,:,.,:,.,:,.,.,D,:,.,D,.,.,:,:,.,.,.,:,.,.,.,:,.,.,.,:,E0,EPL,1819,Cardiff
:,:,:,:,:,D,D,:,D,:,:,D,.,:,.,:,:,.,:,:,D,:,.,.,:,.,:,:,D,.,:,:,:,.,D,D,:,D,E0,EPL,1819,Chelsea
:,.,.,.,:,D,.,.,.,D,.,.,D,:,.,.,:,:,D,.,:,.,.,D,:,D,:,.,:,.,:,.,:,.,:,D,:,:,E0,EPL,1819,Crystal Palace
D,:,D,D,.,.,:,:,:,.,:,D,:,.,D,D,.,.,:,.,.,:,.,:,.,.,.,:,D,.,:,:,:,.,:,D,:,D,E0,EPL,1819,Everton
.,.,:,D,.,D,.,.,.,.,.,.,:,.,D,.,.,D,D,:,.,.,.,:,.,.,.,.,.,.,.,.,.,:,:,:,.,.,E0,EPL,1819,Fulham
.,.,D,D,.,.,.,D,.,.,:,D,:,.,.,.,.,.,.,.,.,D,.,.,.,.,.,:,.,.,.,.,.,.,.,.,D,D,E0,EPL,1819,Huddersfield
.,:,:,.,.,:,:,.,.,D,:,D,D,:,D,.,.,:,:,.,:,.,.,D,.,.,.,:,.,:,:,:,:,.,D,:,.,D,E0,EPL,1819,Leicester
:,:,:,:,:,:,D,D,:,:,D,:,:,:,:,:,:,:,:,:,.,:,:,D,D,:,D,:,D,:,:,:,:,:,:,:,:,:,E0,EPL,1819,Liverpool
:,:,D,:,:,:,:,D,:,:,:,:,:,:,:,.,:,.,.,:,:,:,:,.,:,:,:,:,:,:,:,:,:,:,:,:,:,:,E0,EPL,1819,Man City
:,.,.,:,:,D,.,:,D,:,:,.,D,D,D,:,.,:,:,:,:,:,:,D,:,:,D,:,:,.,:,.,:,.,.,D,D,.,E0,EPL,1819,Man United
.,D,.,.,.,D,.,.,.,D,:,:,:,.,D,.,:,D,.,D,.,.,:,:,.,D,:,:,.,:,D,.,.,:,:,D,.,:,E0,EPL,1819,Newcastle
D,.,.,:,D,.,.,.,D,D,.,D,.,D,.,.,:,:,.,.,D,:,:,D,D,.,.,:,.,:,:,.,:,.,D,D,.,D,E0,EPL,1819,Southampton
:,:,:,.,.,:,:,:,:,.,:,:,:,.,:,:,:,:,:,.,:,.,:,:,:,:,.,.,D,.,.,:,:,.,:,.,.,D,E0,EPL,1819,Tottenham
:,:,:,:,.,D,.,.,:,:,.,D,.,.,.,D,:,:,.,D,D,:,D,.,D,:,:,.,:,.,.,:,.,:,D,.,.,.,E0,EPL,1819,Watford
.,.,.,.,:,D,:,.,.,D,:,D,.,:,:,:,:,.,:,.,D,:,.,.,D,D,:,.,:,.,:,.,.,.,D,:,:,:,E0,EPL,1819,West Ham
D,.,D,:,:,D,:,:,.,.,.,D,.,.,:,:,:,.,D,:,.,.,:,:,:,D,D,.,:,D,.,:,.,D,:,:,:,.,E0,EPL,1819,Wolves
:,.,.,:,D,:,:,.,:,:,.,:,:,:,.,D,D,:,D,:,D,D,.,:,.,:,.,.,.,:,:,:,.,:,.,:,.,:,E0,EPL,1718,Arsenal
.,.,.,.,:,.,D,.,:,.,:,:,D,.,D,D,.,.,.,D,:,D,:,D,:,:,.,D,D,.,:,D,D,.,.,.,:,:,E0,EPL,1718,Bournemouth
.,.,D,:,.,:,.,D,:,D,:,D,.,D,.,.,.,D,:,.,D,D,.,.,D,:,D,:,:,.,.,D,.,D,D,:,.,.,E0,EPL,1718,Brighton
