1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,TheLeague,TheLeagueName,TheSeason,TheTeam
:,D,D,.,.,.,:,.,.,:,.,.,.,.,.,.,.,.,:,.,D,.,:,:,D,.,D,.,.,.,.,:,:,.,D,:,:,:,,,,,,,,,E2,League1,1819,AFC Wimbledon
.,:,D,:,D,D,D,D,:,:,:,.,:,:,.,D,D,.,.,.,.,:,:,.,.,D,.,D,.,D,:,D,.,.,.,:,,,,,,,,,,,E2,League1,1819,Accrington
:,:,D,:,D,:,D,.,:,D,:,:,.,.,:,:,:,D,.,.,D,:,:,:,D,:,:,:,D,:,:,:,D,D,:,:,D,D,,,,,,,,,E2,League1,1819,Barnsley
D,.,D,:,D,D,:,:,D,D,D,:,:,.,.,:,:,:,.,:,.,.,.,D,.,:,D,:,D,:,D,D,.,.,:,D,D,.,,,,,,,,,E2,League1,1819,Blackpool
:,.,.,:,.,.,.,.,.,D,:,.,.,.,.,.,.,D,:,.,D,:,:,.,:,:,.,.,D,:,D,.,D,.,.,:,.,.,,,,,,,,,E2,League1,1819,Bradford
.,.,:,.,.,D,D,.,:,D,D,.,.,D,:,.,:,.,.,.,.,.,:,:,:,D,D,.,D,:,D,D,.,:,:,:,D,,,,,,,,,,E2,League1,1819,Bristol Rvs
.,.,:,.,.,:,D,:,D,.,.,:,:,D,.,:,:,.,.,:,.,.,:,D,D,:,.,D,D,D,:,D,D,.,D,:,.,:,,,,,,,,,E2,League1,1819,Burton
.,:,D,.,D,:,:,:,:,D,.,.,:,D,.,:,:,:,:,.,:,:,:,.,.,:,D,:,:,D,.,D,D,:,D,:,:,D,,,,,,,,,E2,League1,1819,Charlton
.,D,:,.,D,.,:,:,.,D,.,:,:,:,:,:,D,.,D,.,.,.,.,:,:,:,.,D,.,.,D,:,:,D,:,.,:,:,,,,,,,,,E2,League1,1819,Coventry
:,:,.,D,D,D,:,:,:,:,.,.,:,D,.,.,.,:,D,:,:,:,D,.,:,:,.,D,D,:,:,D,.,D,.,D,D,,,,,,,,,,E2,League1,1819,Doncaster
.,:,D,:,D,:,D,D,.,.,D,:,:,.,.,:,.,D,.,:,.,:,.,:,.,D,D,D,:,.,:,:,.,:,D,.,.,:,,,,,,,,,E2,League1,1819,Fleetwood Town
:,:,.,.,D,.,.,.,.,D,:,.,D,.,:,:,.,.,.,:,:,D,.,:,.,.,:,.,D,D,.,:,.,:,D,:,.,D,,,,,,,,,E2,League1,1819,Gillingham
.,D,.,:,:,D,.,:,D,D,:,:,.,:,:,:,D,:,:,:,:,:,:,:,D,D,D,:,:,:,:,:,:,D,:,D,:,D,,,,,,,,,E2,League1,1819,Luton
.,.,.,.,:,D,.,D,.,.,.,D,:,D,D,:,D,:,.,:,D,:,D,.,.,.,D,:,D,D,D,.,.,:,:,.,D,:,,,,,,,,,E2,League1,1819,Oxford
:,:,:,:,:,D,:,.,:,D,D,.,:,.,:,:,.,D,D,:,D,D,D,.,:,.,:,.,D,D,.,.,:,.,:,.,.,.,,,,,,,,,E2,League1,1819,Peterboro
.,D,.,D,.,.,D,.,.,.,D,:,.,.,:,:,.,.,:,.,D,:,.,.,D,:,:,:,:,.,:,D,D,:,.,D,:,.,,,,,,,,,E2,League1,1819,Plymouth
:,:,:,:,D,:,D,:,D,:,:,.,:,:,D,D,:,:,:,:,.,D,:,.,:,:,.,.,.,D,D,D,D,D,:,.,:,:,,,,,,,,,E2,League1,1819,Portsmouth
:,.,D,.,.,:,D,:,.,.,D,D,.,:,.,:,D,.,:,.,D,.,:,:,.,.,.,.,D,.,:,.,.,.,.,:,D,,,,,,,,,,E2,League1,1819,Rochdale
:,D,.,.,D,D,D,:,:,D,:,.,.,.,.,.,D,:,.,.,.,.,.,.,:,:,:,:,D,:,.,:,.,D,.,.,:,.,,,,,,,,,E2,League1,1819,Scunthorpe
.,.,D,D,.,D,D,:,.,D,D,:,.,.,:,.,:,:,.,:,.,D,:,.,D,D,.,D,.,.,D,D,:,:,D,.,.,:,,,,,,,,,E2,League1,1819,Shrewsbury
.,D,:,.,:,.,.,.,:,:,:,D,:,.,:,.,.,.,.,:,.,:,.,:,.,:,.,:,.,.,D,.,D,D,.,D,.,.,,,,,,,,,E2,League1,1819,Southend
:,D,:,:,:,D,D,.,:,D,D,:,:,:,:,:,D,D,:,:,.,:,D,:,D,D,D,:,D,D,D,:,:,:,D,D,:,,,,,,,,,,E2,League1,1819,Sunderland
:,D,:,:,:,D,D,.,:,.,D,:,.,.,:,.,.,D,D,.,:,.,D,.,D,.,.,:,.,.,.,.,.,:,D,:,.,.,,,,,,,,,E2,League1,1819,Walsall
D,.,.,D,:,D,.,D,D,.,D,:,.,:,:,.,:,D,:,:,:,D,.,.,.,.,:,:,:,D,D,.,.,.,.,D,.,.,,,,,,,,,E2,League1,1819,Wycombe
D,.,.,:,.,.,D,:,.,.,D,.,:,:,.,.,D,:,D,.,.,:,.,D,:,D,:,:,.,.,.,.,:,D,.,:,D,.,.,D,:,:,D,D,D,D,E2,League1,1718,AFC Wimbledon
.,.,:,:,:,:,.,D,:,:,.,D,:,D,D,:,:,:,:,:,:,D,:,D,D,:,:,D,:,.,D,:,:,:,:,D,:,:,:,:,D,D,:,:,.,:,E2,League1,1718,Blackburn
.,:,D,:,:,D,:,:,.,D,.,D,:,.,.,.,:,D,D,.,.,.,D,.,D,:,.,D,.,D,D,:,D,:,.,:,D,D,.,.,:,:,:,:,D,.,E2,League1,1718,Blackpool
